"~start_node_id","~start_node_labels","~start_node_property_name","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_name","~end_node_property_score","~end_node_property_description","~start_node_property_scf_id","~start_node_property_strength","~start_node_property_description"
"140","Policy","Steering Committee & Program Oversight","CONTRIBUTES_WEIGHT_TO","19","Governance_Policies","Governance Policies",,,"GOV-01.1",7,"Mechanisms exist to coordinate cybersecurity, data protection and business alignment through a steering committee or advisory board, comprised of key cybersecurity, data privacy and business executives, which meets formally and on a regular basis."
"1","Governance","Governance","DEFINE_POLICY","20","Security_Operations_Policies","Security Operations Policies",,,,,
"1","Governance","Governance","DEFINE_POLICY","12","Assurance_Policies","Assurance Policies",,,,,
"39","Policy","Asset-Service Dependencies","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-01.1",5,"Mechanisms exist to identify and assess the security of technology assets that support more than one critical business function. "
"1","Governance","Governance","DEFINE_POLICY","26","Change_Management_Policies","Change Management Policies",,,,,
"1","Governance","Governance","DEFINE_POLICY","7","Asset_Management_Policies","Asset Management Policies",,,,,
"40","Policy","Stakeholder Identification & Involvement","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-01.2",5,"Mechanisms exist to identify and involve pertinent stakeholders of critical systems, applications and services to support the ongoing secure management of those assets."
"41","Policy","Standardized Naming Convention","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-01.3",5,"Mechanisms exist to implement a scalable, standardized naming convention for systems, applications and services that avoids asset naming conflicts."
"42","Policy","Asset Inventories ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-02",10,"Mechanisms exist to perform inventories of technology assets that:  ▪ Accurately reflects the current systems, applications and services in use;   ▪ Identifies authorized software products, including business justification details;  ▪ Is at the level of granularity deemed necessary for tracking and reporting;  ▪ Includes organization-defined information deemed necessary to achieve effective property accountability; and  ▪ Is available for review and audit by designated organizational personnel."
"43","Policy","Updates During Installations / Removals","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-02.1",7,"Mechanisms exist to update asset inventories as part of component installations, removals and asset upgrades. "
"44","Policy","Automated Unauthorized Component Detection","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-02.2",3,"Automated mechanisms exist to detect and alert upon the detection of unauthorized hardware, software and firmware components."
"45","Policy","Component Duplication Avoidance ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-02.3",2,"Mechanisms exist to establish and maintain an authoritative source and repository to provide a trusted source and accountability for approved and implemented system components that prevents assets from being duplicated in other asset inventories."
"46","Policy","Approved Baseline Deviations","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-02.4",8,"Mechanisms exist to document and govern instances of approved deviations from established baseline configurations. "
"47","Policy","Network Access Control (NAC)","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-02.5",4,"Automated mechanisms exist to employ Network Access Control (NAC), or a similar technology, that is capable of detecting unauthorized devices and disable network access to those unauthorized devices."
"48","Policy","Dynamic Host Configuration Protocol (DHCP) Server Logging","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-02.6",3,"Mechanisms exist to enable Dynamic Host Configuration Protocol (DHCP) server logging to improve asset inventories and assist in detecting unknown systems. "
"49","Policy","Software Licensing Restrictions","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-02.7",8,"Mechanisms exist to protect Intellectual Property (IP) rights with software licensing restrictions. "
"50","Policy","Data Action Mapping","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-02.8",9,"Mechanisms exist to create and maintain a map of technology assets where sensitive/regulated data is stored, transmitted or processed."
"51","Policy","Configuration Management Database (CMDB)","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-02.9",5,"Mechanisms exist to implement and manage a Configuration Management Database (CMDB), or similar technology, to monitor and govern technology asset-specific information."
"52","Policy","Automated Location Tracking","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-02.10",5,"Mechanisms exist to track the geographic location of system components."
"53","Policy","Component Assignment","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-02.11",3,"Mechanisms exist to bind components to a specific system."
"54","Policy","Asset Ownership Assignment","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-03",8,"Mechanisms exist to ensure asset ownership responsibilities are assigned, tracked and managed at a team, individual, or responsible organization level to establish a common understanding of requirements for asset protection."
"55","Policy","Accountability Information","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-03.1",5,"Mechanisms exist to include capturing the name, position and/or role of individuals responsible/accountable for administering assets as part of the technology asset inventory process."
"56","Policy","Provenance","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-03.2",8,"Mechanisms exist to track the origin, development, ownership, location and changes to systems, system components and associated data."
"57","Policy","Network Diagrams & Data Flow Diagrams (DFDs)","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-04",10,"Mechanisms exist to maintain network architecture diagrams that:   ▪ Contain sufficient detail to assess the security of the network's architecture;  ▪ Reflect the current architecture of the network environment; and  ▪ Document all sensitive/regulated data flows."
"58","Policy","Asset Scope Classification","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-04.1",8,"Mechanisms exist to determine cybersecurity & data privacy control applicability by identifying, assigning and documenting the appropriate asset scope categorization for all systems, applications, services and personnel (internal and third-parties)."
"59","Policy","Control Applicability Boundary Graphical Representation","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-04.2",6,"Mechanisms exist to ensure control applicability is appropriately-determined for systems, applications, services and third parties by graphically representing applicable boundaries."
"60","Policy","Compliance-Specific Asset Identification","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-04.3",6,"Mechanisms exist to create and maintain a current inventory of systems, applications and services that are in scope for statutory, regulatory and/or contractual compliance obligations that provides sufficient detail to determine control applicability, based on asset scope categorization."
"61","Policy","Security of Assets & Media","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-05",8,"Mechanisms exist to maintain strict control over the internal or external distribution of any kind of sensitive/regulated media. "
"62","Policy","Management Approval For External Media Transfer","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-05.1",8,"Mechanisms exist to obtain management approval for any sensitive / regulated media that is transferred outside of the organization's facilities."
"63","Policy","Unattended End-User Equipment ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-06",9,"Mechanisms exist to implement enhanced protection measures for unattended systems to protect against tampering and unauthorized access."
"64","Policy","Asset Storage In Automobiles","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-06.1",7,"Mechanisms exist to educate users on the need to physically secure laptops and other mobile devices out of site when traveling, preferably in the trunk of a vehicle."
"65","Policy","Kiosks & Point of Interaction (PoI) Devices","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-07",8,"Mechanisms exist to appropriately protect devices that capture sensitive/regulated data via direct physical interaction from tampering and substitution. "
"66","Policy","Tamper Detection","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-08",9,"Mechanisms exist to periodically inspect systems and system components for Indicators of Compromise (IoC)."
"67","Policy","Secure Disposal, Destruction or Re-Use of Equipment ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-09",10,"Mechanisms exist to securely dispose of, destroy or repurpose system components using organization-defined techniques and methods to prevent information being recovered from these components."
"68","Policy","Return of Assets ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-10",8,"Mechanisms exist to ensure that employees and third-party users return all organizational assets in their possession upon termination of employment, contract or agreement."
"69","Policy","Removal of Assets ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-11",8,"Mechanisms exist to authorize, control and track technology assets entering and exiting organizational facilities. "
"70","Policy","Use of Personal Devices","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-12",10,"Mechanisms exist to restrict the possession and usage of personally-owned technology devices within organization-controlled facilities."
"71","Policy","Use of Third-Party Devices","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-13",9,"Mechanisms exist to reduce the risk associated with third-party assets that are attached to the network from harming organizational assets or exfiltrating organizational data."
"72","Policy","Usage Parameters","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-14",7,"Mechanisms exist to monitor and enforce usage parameters that limit the potential damage caused from the unauthorized or unintentional alteration of system parameters.  "
"73","Policy","Bluetooth & Wireless Devices","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-14.1",7,"Mechanisms exist to prevent the usage of Bluetooth and wireless devices (e.g., Near Field Communications (NFC)) in sensitive areas or unless used in a Radio Frequency (RF)-screened building."
"74","Policy","Infrared Communications","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-14.2",5,"Mechanisms exist to prevent line of sight and reflected infrared (IR) communications use in an unsecured space."
"75","Policy","Tamper Protection","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-15",6,"Mechanisms exist to verify logical configuration settings and the physical integrity of critical technology assets throughout their lifecycle."
"76","Policy","Inspection of Systems, Components & Devices ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-15.1",6,"Mechanisms exist to physically and logically inspect critical technology assets to detect evidence of tampering. "
"77","Policy","Bring Your Own Device (BYOD) Usage ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-16",10,"Mechanisms exist to implement and govern a Bring Your Own Device (BYOD) program to reduce risk associated with personally-owned devices in the workplace."
"78","Policy","Prohibited Equipment & Services","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-17",9,"Mechanisms exist to govern Supply Chain Risk Management (SCRM) sanctions that require the removal and prohibition of certain technology services and/or equipment that are designated as supply chain threats by a statutory or regulatory body."
"79","Policy","Roots of Trust Protection","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-18",4,"Mechanisms exist to provision and protect the confidentiality, integrity and authenticity of product supplier keys and data that can be used as a “roots of trust” basis for integrity verification."
"80","Policy","Telecommunications Equipment","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-19",9,"Mechanisms exist to establish usage restrictions and implementation guidance for telecommunication equipment to prevent potential damage or unauthorized modification and to prevent potential eavesdropping."
"81","Policy","Video Teleconference (VTC) Security","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-20",8,"Mechanisms exist to implement secure Video Teleconference (VTC) capabilities on endpoint devices and in designated conference rooms, to prevent potential eavesdropping."
"82","Policy","Voice Over Internet Protocol (VoIP) Security","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-21",8,"Mechanisms exist to implement secure Internet Protocol Telephony (IPT) that logically or physically separates Voice Over Internet Protocol (VoIP) traffic from data networks."
"83","Policy","Microphones & Web Cameras","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-22",8,"Mechanisms exist to configure assets to prohibit the use of endpoint-based microphones and web cameras in secure areas or where sensitive/regulated information is discussed."
"84","Policy","Multi-Function Devices (MFD)","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-23",8,"Mechanisms exist to securely configure Multi-Function Devices (MFD) according to industry-recognized secure practices for the type of device."
"85","Policy","Travel-Only Devices","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-24",8,"Mechanisms exist to issue personnel travelling overseas with temporary, loaner or 'travel-only' end user technology (e.g., laptops and mobile devices) when travelling to authoritarian countries with a higher-than average risk for Intellectual Property (IP) theft or espionage against individuals and private companies."
"86","Policy","Re-Imaging Devices After Travel","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-25",8,"Mechanisms exist to re-image end user technology (e.g., laptops and mobile devices) when returning from overseas travel to an authoritarian country with a higher-than average risk for Intellectual Property (IP) theft or espionage against individuals and private companies."
"87","Policy","System Administrative Processes","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-26",9,"Mechanisms exist to develop, implement and govern system administration processes, with corresponding Standardized Operating Procedures (SOP), for operating and maintaining systems, applications and services."
"88","Policy","Jump Server","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-27",7,"Mechanisms exist to conduct remote system administrative functions via a 'jump box' or 'jump server' that is located in a separate network zone to user workstations."
"89","Policy","Database Administrative Processes","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-28",9,"Mechanisms exist to develop, implement and govern database management processes, with corresponding Standardized Operating Procedures (SOP), for operating and maintaining databases."
"90","Policy","Database Management System (DBMS)","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-28.1",6,"Mechanisms exist to implement and maintain Database Management Systems (DBMSs), where applicable."
"91","Policy","Radio Frequency Identification (RFID) Security","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-29",3,"Mechanisms exist to securely govern Radio Frequency Identification (RFID) deployments to ensure RFID is used safely and securely to protect the confidentiality and integrity of data and prevent the compromise of secure spaces."
"92","Policy","Contactless Access Control Systems","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-29.1",3,"Mechanisms exist to securely configure contactless access control systems incorporating contactless RFID or smart cards to protect the confidentiality and integrity of data and prevent the compromise of secure spaces."
"93","Policy","Decommissioning","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-30",4,"Mechanisms exist to ensure systems, applications and services are properly decommissioned so that data is properly transitioned to new systems or archived in accordance with applicable organizational standards, as well as statutory, regulatory and contractual obligations."
"94","Policy","Asset Categorization","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-31",9,"Mechanisms exist to categorize technology assets."
"95","Policy","Categorize Artificial Intelligence (AI)-Related Technologies","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-31.1",9,"Mechanisms exist to categorize Artificial Intelligence (AI) and Autonomous Technologies (AAT)."
"96","Policy","Capacity & Performance Management ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CAP-01",8,"Mechanisms exist to facilitate the implementation of capacity management controls to ensure optimal system performance to meet expected and anticipated future capacity requirements."
"97","Policy","Resource Priority","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CAP-02",8,"Mechanisms exist to control resource utilization of systems that are susceptible to Denial of Service (DoS) attacks to limit and prioritize the use of resources."
"98","Policy","Capacity Planning ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CAP-03",8,"Mechanisms exist to conduct capacity planning so that necessary capacity for information processing, telecommunications and environmental support will exist during contingency operations. "
"99","Policy","Performance Monitoring","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CAP-04",7,"Automated mechanisms exist to centrally-monitor and alert on the operating state and health status of critical systems, applications and services."
"100","Policy","Configuration Management Program","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-01",9,"Mechanisms exist to facilitate the implementation of configuration management controls."
"101","Policy","Assignment of Responsibility","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-01.1",5,"Mechanisms exist to implement a segregation of duties for configuration management that prevents developers from performing production configuration management duties."
"102","Policy","System Hardening Through Baseline Configurations ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-02",10,"Mechanisms exist to develop, document and maintain secure baseline configurations for technology platforms that are consistent with industry-accepted system hardening standards. "
"103","Policy","Reviews & Updates","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-02.1",8,"Mechanisms exist to review and update baseline configurations:  ▪ At least annually;  ▪ When required due to so; or  ▪ As part of system component installations and upgrades."
"104","Policy","Automated Central Management & Verification ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-02.2",7,"Automated mechanisms exist to govern and report on baseline configurations of the systems. "
"105","Policy","Retention Of Previous Configurations ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-02.3",3,"Mechanisms exist to retain previous versions of baseline configuration to support roll back. "
"106","Policy","Development & Test Environment Configurations","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-02.4",5,"Mechanisms exist to manage baseline configurations for development and test environments separately from operational baseline configurations to minimize the risk of unintentional changes."
"107","Policy","Configure Systems, Components or Services for High-Risk Areas ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-02.5",8,"Mechanisms exist to configure systems utilized in high-risk areas with more restrictive baseline configurations."
"108","Policy","Network Device Configuration File Synchronization","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-02.6",7,"Mechanisms exist to configure network devices to synchronize startup and running configuration files. "
"109","Policy","Approved Configuration Deviations ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-02.7",9,"Mechanisms exist to document, assess risk and approve or deny deviations to standardized configurations."
"110","Policy","Respond To Unauthorized Changes ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-02.8",9,"Mechanisms exist to respond to unauthorized changes to configuration settings as security incidents. "
"111","Policy","Baseline Tailoring","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-02.9",9,"Mechanisms exist to allow baseline controls to be specialized or customized by applying a defined set of tailoring actions that are specific to:  ▪ Mission / business functions;  ▪ Operational environment;  ▪ Specific threats or vulnerabilities; or  ▪ Other conditions or situations that could affect mission / business success."
"112","Policy","Least Functionality","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-03",10,"Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports, protocols, and/or services. "
"113","Policy","Periodic Review","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-03.1",8,"Mechanisms exist to periodically review system configurations to identify and disable unnecessary and/or non-secure functions, ports, protocols and services."
"114","Policy","Prevent Unauthorized Software Execution","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-03.2",7,"Mechanisms exist to configure systems to prevent the execution of unauthorized software programs. "
"115","Policy","Unauthorized or Authorized Software (Blacklisting or Whitelisting)","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-03.3",5,"Mechanisms exist to whitelist or blacklist applications in an order to limit what is authorized to execute on systems."
"116","Policy","Split Tunneling","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-03.4",8,"Mechanisms exist to prevent systems from creating split tunneling connections or similar techniques that could be used to exfiltrate data."
"117","Policy","Software Usage Restrictions ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-04",9,"Mechanisms exist to enforce software usage restrictions to comply with applicable contract agreements and copyright laws."
"118","Policy","Open Source Software","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-04.1",9,"Mechanisms exist to establish parameters for the secure use of open source software. "
"119","Policy","Unsupported Internet Browsers & Email Clients ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-04.2",7,"Mechanisms exist to allow only approved Internet browsers and email clients to run on systems."
"120","Policy","User-Installed Software","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-05",10,"Mechanisms exist to restrict the ability of non-privileged users to install unauthorized software."
"121","Policy","Unauthorized Installation Alerts","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-05.1",8,"Mechanisms exist to configure systems to generate an alert when the unauthorized installation of software is detected. "
"122","Policy","Restrict Roles Permitted To Install Software","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-05.2",9,"Mechanisms exist to configure systems to prevent the installation of software, unless the action is performed by a privileged user or service."
"123","Policy","Configuration Enforcement","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-06",7,"Automated mechanisms exist to monitor, enforce and report on configurations for endpoint devices."
"124","Policy","Zero-Touch Provisioning (ZTP)","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-07",8,"Mechanisms exist to implement Zero-Touch Provisioning (ZTP), or similar technology, to automatically and securely configure devices upon being added to a network."
"125","Policy","Sensitive / Regulated Data Access Enforcement","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-08",7,"Mechanisms exist to configure systems, applications and processes to restrict access to sensitive/regulated data."
"126","Policy","Sensitive / Regulated Data Actions","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - CFG-08.1",7,"Automated mechanisms exist to generate event logs whenever sensitive/regulated data is collected, created, updated, deleted and/or archived."
"127","Policy","Centralized Management Of Mobile Devices ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - MDM-01",10,"Mechanisms exist to develop, govern & update procedures to facilitate the implementation of mobile device management controls."
"128","Policy","Access Control For Mobile Devices","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - MDM-02",9,"Mechanisms exist to enforce access control requirements for the connection of mobile devices to organizational systems. "
"129","Policy","Full Device & Container-Based Encryption ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - MDM-03",9,"Cryptographic mechanisms exist to protect the confidentiality and integrity of information on mobile devices through full-device or container encryption."
"130","Policy","Mobile Device Tampering","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - MDM-04",9,"Mechanisms exist to protect mobile devices from tampering through inspecting devices returning from locations that the organization deems to be of significant risk, prior to the device being connected to the organization’s network."
"131","Policy","Remote Purging","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - MDM-05",9,"Mechanisms exist to remotely purge selected information from mobile devices. "
"132","Policy","Personally-Owned Mobile Devices ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST - MDM-06",8,"Mechanisms exist to restrict the connection of personally-owned, mobile devices to organizational systems and networks. "
