"~id","~labels","name","score","description","scf_id","strength"
"54","Policy","Asset Ownership Assignment",,"Mechanisms exist to ensure asset ownership responsibilities are assigned, tracked and managed at a team, individual, or responsible organization level to establish a common understanding of requirements for asset protection.","AST-03",8
"55","Policy","Accountability Information",,"Mechanisms exist to include capturing the name, position and/or role of individuals responsible/accountable for administering assets as part of the technology asset inventory process.","AST-03.1",5
"56","Policy","Provenance",,"Mechanisms exist to track the origin, development, ownership, location and changes to systems, system components and associated data.","AST-03.2",8
"57","Policy","Network Diagrams & Data Flow Diagrams (DFDs)",,"Mechanisms exist to maintain network architecture diagrams that:   ▪ Contain sufficient detail to assess the security of the network's architecture;  ▪ Reflect the current architecture of the network environment; and  ▪ Document all sensitive/regulated data flows.","AST-04",10
"58","Policy","Asset Scope Classification",,"Mechanisms exist to determine cybersecurity & data privacy control applicability by identifying, assigning and documenting the appropriate asset scope categorization for all systems, applications, services and personnel (internal and third-parties).","AST-04.1",8
"59","Policy","Control Applicability Boundary Graphical Representation",,"Mechanisms exist to ensure control applicability is appropriately-determined for systems, applications, services and third parties by graphically representing applicable boundaries.","AST-04.2",6
"60","Policy","Compliance-Specific Asset Identification",,"Mechanisms exist to create and maintain a current inventory of systems, applications and services that are in scope for statutory, regulatory and/or contractual compliance obligations that provides sufficient detail to determine control applicability, based on asset scope categorization.","AST-04.3",6
"61","Policy","Security of Assets & Media",,"Mechanisms exist to maintain strict control over the internal or external distribution of any kind of sensitive/regulated media. ","AST-05",8
"62","Policy","Management Approval For External Media Transfer",,"Mechanisms exist to obtain management approval for any sensitive / regulated media that is transferred outside of the organization's facilities.","AST-05.1",8
"63","Policy","Unattended End-User Equipment ",,"Mechanisms exist to implement enhanced protection measures for unattended systems to protect against tampering and unauthorized access.","AST-06",9
"64","Policy","Asset Storage In Automobiles",,"Mechanisms exist to educate users on the need to physically secure laptops and other mobile devices out of site when traveling, preferably in the trunk of a vehicle.","AST-06.1",7
"65","Policy","Kiosks & Point of Interaction (PoI) Devices",,"Mechanisms exist to appropriately protect devices that capture sensitive/regulated data via direct physical interaction from tampering and substitution. ","AST-07",8
"66","Policy","Tamper Detection",,"Mechanisms exist to periodically inspect systems and system components for Indicators of Compromise (IoC).","AST-08",9
"67","Policy","Secure Disposal, Destruction or Re-Use of Equipment ",,"Mechanisms exist to securely dispose of, destroy or repurpose system components using organization-defined techniques and methods to prevent information being recovered from these components.","AST-09",10
"68","Policy","Return of Assets ",,"Mechanisms exist to ensure that employees and third-party users return all organizational assets in their possession upon termination of employment, contract or agreement.","AST-10",8
"69","Policy","Removal of Assets ",,"Mechanisms exist to authorize, control and track technology assets entering and exiting organizational facilities. ","AST-11",8
"70","Policy","Use of Personal Devices",,"Mechanisms exist to restrict the possession and usage of personally-owned technology devices within organization-controlled facilities.","AST-12",10
"71","Policy","Use of Third-Party Devices",,"Mechanisms exist to reduce the risk associated with third-party assets that are attached to the network from harming organizational assets or exfiltrating organizational data.","AST-13",9
"72","Policy","Usage Parameters",,"Mechanisms exist to monitor and enforce usage parameters that limit the potential damage caused from the unauthorized or unintentional alteration of system parameters.  ","AST-14",7
"73","Policy","Bluetooth & Wireless Devices",,"Mechanisms exist to prevent the usage of Bluetooth and wireless devices (e.g., Near Field Communications (NFC)) in sensitive areas or unless used in a Radio Frequency (RF)-screened building.","AST-14.1",7
"74","Policy","Infrared Communications",,"Mechanisms exist to prevent line of sight and reflected infrared (IR) communications use in an unsecured space.","AST-14.2",5
"75","Policy","Tamper Protection",,"Mechanisms exist to verify logical configuration settings and the physical integrity of critical technology assets throughout their lifecycle.","AST-15",6
"76","Policy","Inspection of Systems, Components & Devices ",,"Mechanisms exist to physically and logically inspect critical technology assets to detect evidence of tampering. ","AST-15.1",6
"77","Policy","Bring Your Own Device (BYOD) Usage ",,"Mechanisms exist to implement and govern a Bring Your Own Device (BYOD) program to reduce risk associated with personally-owned devices in the workplace.","AST-16",10
"78","Policy","Prohibited Equipment & Services",,"Mechanisms exist to govern Supply Chain Risk Management (SCRM) sanctions that require the removal and prohibition of certain technology services and/or equipment that are designated as supply chain threats by a statutory or regulatory body.","AST-17",9
"79","Policy","Roots of Trust Protection",,"Mechanisms exist to provision and protect the confidentiality, integrity and authenticity of product supplier keys and data that can be used as a “roots of trust” basis for integrity verification.","AST-18",4
"80","Policy","Telecommunications Equipment",,"Mechanisms exist to establish usage restrictions and implementation guidance for telecommunication equipment to prevent potential damage or unauthorized modification and to prevent potential eavesdropping.","AST-19",9
"81","Policy","Video Teleconference (VTC) Security",,"Mechanisms exist to implement secure Video Teleconference (VTC) capabilities on endpoint devices and in designated conference rooms, to prevent potential eavesdropping.","AST-20",8
"82","Policy","Voice Over Internet Protocol (VoIP) Security",,"Mechanisms exist to implement secure Internet Protocol Telephony (IPT) that logically or physically separates Voice Over Internet Protocol (VoIP) traffic from data networks.","AST-21",8
"83","Policy","Microphones & Web Cameras",,"Mechanisms exist to configure assets to prohibit the use of endpoint-based microphones and web cameras in secure areas or where sensitive/regulated information is discussed.","AST-22",8
"84","Policy","Multi-Function Devices (MFD)",,"Mechanisms exist to securely configure Multi-Function Devices (MFD) according to industry-recognized secure practices for the type of device.","AST-23",8
"85","Policy","Travel-Only Devices",,"Mechanisms exist to issue personnel travelling overseas with temporary, loaner or 'travel-only' end user technology (e.g., laptops and mobile devices) when travelling to authoritarian countries with a higher-than average risk for Intellectual Property (IP) theft or espionage against individuals and private companies.","AST-24",8
"86","Policy","Re-Imaging Devices After Travel",,"Mechanisms exist to re-image end user technology (e.g., laptops and mobile devices) when returning from overseas travel to an authoritarian country with a higher-than average risk for Intellectual Property (IP) theft or espionage against individuals and private companies.","AST-25",8
"87","Policy","System Administrative Processes",,"Mechanisms exist to develop, implement and govern system administration processes, with corresponding Standardized Operating Procedures (SOP), for operating and maintaining systems, applications and services.","AST-26",9
"88","Policy","Jump Server",,"Mechanisms exist to conduct remote system administrative functions via a 'jump box' or 'jump server' that is located in a separate network zone to user workstations.","AST-27",7
"89","Policy","Database Administrative Processes",,"Mechanisms exist to develop, implement and govern database management processes, with corresponding Standardized Operating Procedures (SOP), for operating and maintaining databases.","AST-28",9
"90","Policy","Database Management System (DBMS)",,"Mechanisms exist to implement and maintain Database Management Systems (DBMSs), where applicable.","AST-28.1",6
"91","Policy","Radio Frequency Identification (RFID) Security",,"Mechanisms exist to securely govern Radio Frequency Identification (RFID) deployments to ensure RFID is used safely and securely to protect the confidentiality and integrity of data and prevent the compromise of secure spaces.","AST-29",3
"92","Policy","Contactless Access Control Systems",,"Mechanisms exist to securely configure contactless access control systems incorporating contactless RFID or smart cards to protect the confidentiality and integrity of data and prevent the compromise of secure spaces.","AST-29.1",3
"93","Policy","Decommissioning",,"Mechanisms exist to ensure systems, applications and services are properly decommissioned so that data is properly transitioned to new systems or archived in accordance with applicable organizational standards, as well as statutory, regulatory and contractual obligations.","AST-30",4
"94","Policy","Asset Categorization",,"Mechanisms exist to categorize technology assets.","AST-31",9
"95","Policy","Categorize Artificial Intelligence (AI)-Related Technologies",,"Mechanisms exist to categorize Artificial Intelligence (AI) and Autonomous Technologies (AAT).","AST-31.1",9
"96","Policy","Capacity & Performance Management ",,"Mechanisms exist to facilitate the implementation of capacity management controls to ensure optimal system performance to meet expected and anticipated future capacity requirements.","AST - CAP-01",8
"97","Policy","Resource Priority",,"Mechanisms exist to control resource utilization of systems that are susceptible to Denial of Service (DoS) attacks to limit and prioritize the use of resources.","AST - CAP-02",8
"98","Policy","Capacity Planning ",,"Mechanisms exist to conduct capacity planning so that necessary capacity for information processing, telecommunications and environmental support will exist during contingency operations. ","AST - CAP-03",8
"99","Policy","Performance Monitoring",,"Automated mechanisms exist to centrally-monitor and alert on the operating state and health status of critical systems, applications and services.","AST - CAP-04",7
"100","Policy","Configuration Management Program",,"Mechanisms exist to facilitate the implementation of configuration management controls.","AST - CFG-01",9
"101","Policy","Assignment of Responsibility",,"Mechanisms exist to implement a segregation of duties for configuration management that prevents developers from performing production configuration management duties.","AST - CFG-01.1",5
"102","Policy","System Hardening Through Baseline Configurations ",,"Mechanisms exist to develop, document and maintain secure baseline configurations for technology platforms that are consistent with industry-accepted system hardening standards. ","AST - CFG-02",10
"103","Policy","Reviews & Updates",,"Mechanisms exist to review and update baseline configurations:  ▪ At least annually;  ▪ When required due to so; or  ▪ As part of system component installations and upgrades.","AST - CFG-02.1",8
"104","Policy","Automated Central Management & Verification ",,"Automated mechanisms exist to govern and report on baseline configurations of the systems. ","AST - CFG-02.2",7
"105","Policy","Retention Of Previous Configurations ",,"Mechanisms exist to retain previous versions of baseline configuration to support roll back. ","AST - CFG-02.3",3
"106","Policy","Development & Test Environment Configurations",,"Mechanisms exist to manage baseline configurations for development and test environments separately from operational baseline configurations to minimize the risk of unintentional changes.","AST - CFG-02.4",5
"107","Policy","Configure Systems, Components or Services for High-Risk Areas ",,"Mechanisms exist to configure systems utilized in high-risk areas with more restrictive baseline configurations.","AST - CFG-02.5",8
"108","Policy","Network Device Configuration File Synchronization",,"Mechanisms exist to configure network devices to synchronize startup and running configuration files. ","AST - CFG-02.6",7
"109","Policy","Approved Configuration Deviations ",,"Mechanisms exist to document, assess risk and approve or deny deviations to standardized configurations.","AST - CFG-02.7",9
"110","Policy","Respond To Unauthorized Changes ",,"Mechanisms exist to respond to unauthorized changes to configuration settings as security incidents. ","AST - CFG-02.8",9
"111","Policy","Baseline Tailoring",,"Mechanisms exist to allow baseline controls to be specialized or customized by applying a defined set of tailoring actions that are specific to:  ▪ Mission / business functions;  ▪ Operational environment;  ▪ Specific threats or vulnerabilities; or  ▪ Other conditions or situations that could affect mission / business success.","AST - CFG-02.9",9
"112","Policy","Least Functionality",,"Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports, protocols, and/or services. ","AST - CFG-03",10
"113","Policy","Periodic Review",,"Mechanisms exist to periodically review system configurations to identify and disable unnecessary and/or non-secure functions, ports, protocols and services.","AST - CFG-03.1",8
"114","Policy","Prevent Unauthorized Software Execution",,"Mechanisms exist to configure systems to prevent the execution of unauthorized software programs. ","AST - CFG-03.2",7
"115","Policy","Unauthorized or Authorized Software (Blacklisting or Whitelisting)",,"Mechanisms exist to whitelist or blacklist applications in an order to limit what is authorized to execute on systems.","AST - CFG-03.3",5
"116","Policy","Split Tunneling",,"Mechanisms exist to prevent systems from creating split tunneling connections or similar techniques that could be used to exfiltrate data.","AST - CFG-03.4",8
"117","Policy","Software Usage Restrictions ",,"Mechanisms exist to enforce software usage restrictions to comply with applicable contract agreements and copyright laws.","AST - CFG-04",9
"118","Policy","Open Source Software",,"Mechanisms exist to establish parameters for the secure use of open source software. ","AST - CFG-04.1",9
"119","Policy","Unsupported Internet Browsers & Email Clients ",,"Mechanisms exist to allow only approved Internet browsers and email clients to run on systems.","AST - CFG-04.2",7
"120","Policy","User-Installed Software",,"Mechanisms exist to restrict the ability of non-privileged users to install unauthorized software.","AST - CFG-05",10
"121","Policy","Unauthorized Installation Alerts",,"Mechanisms exist to configure systems to generate an alert when the unauthorized installation of software is detected. ","AST - CFG-05.1",8
"122","Policy","Restrict Roles Permitted To Install Software",,"Mechanisms exist to configure systems to prevent the installation of software, unless the action is performed by a privileged user or service.","AST - CFG-05.2",9
"123","Policy","Configuration Enforcement",,"Automated mechanisms exist to monitor, enforce and report on configurations for endpoint devices.","AST - CFG-06",7
"124","Policy","Zero-Touch Provisioning (ZTP)",,"Mechanisms exist to implement Zero-Touch Provisioning (ZTP), or similar technology, to automatically and securely configure devices upon being added to a network.","AST - CFG-07",8
"125","Policy","Sensitive / Regulated Data Access Enforcement",,"Mechanisms exist to configure systems, applications and processes to restrict access to sensitive/regulated data.","AST - CFG-08",7
"126","Policy","Sensitive / Regulated Data Actions",,"Automated mechanisms exist to generate event logs whenever sensitive/regulated data is collected, created, updated, deleted and/or archived.","AST - CFG-08.1",7
"127","Policy","Centralized Management Of Mobile Devices ",,"Mechanisms exist to develop, govern & update procedures to facilitate the implementation of mobile device management controls.","AST - MDM-01",10
"128","Policy","Access Control For Mobile Devices",,"Mechanisms exist to enforce access control requirements for the connection of mobile devices to organizational systems. ","AST - MDM-02",9
"129","Policy","Full Device & Container-Based Encryption ",,"Cryptographic mechanisms exist to protect the confidentiality and integrity of information on mobile devices through full-device or container encryption.","AST - MDM-03",9
"130","Policy","Mobile Device Tampering",,"Mechanisms exist to protect mobile devices from tampering through inspecting devices returning from locations that the organization deems to be of significant risk, prior to the device being connected to the organization’s network.","AST - MDM-04",9
"131","Policy","Remote Purging",,"Mechanisms exist to remotely purge selected information from mobile devices. ","AST - MDM-05",9
"132","Policy","Personally-Owned Mobile Devices ",,"Mechanisms exist to restrict the connection of personally-owned, mobile devices to organizational systems and networks. ","AST - MDM-06",8
"133","Policy","Organization-Owned Mobile Devices ",,"Mechanisms exist to prohibit the installation of non-approved applications or approved applications not obtained through the organization-approved application store.","AST - MDM-07",8
"134","Policy","Mobile Device Data Retention Limitations",,"Mechanisms exist to limit data retention on mobile devices to the smallest usable dataset and timeframe.","AST - MDM-08",7
"135","Policy","Mobile Device Geofencing",,"Mechanisms exist to restrict the functionality of mobile devices based on geographic location.","AST - MDM-09",7
"136","Policy","Separate Mobile Device Profiles",,"Mechanisms exist to enforce a separate device workspace on applicable mobile devices to separate work-related and personal-related applications and data. ","AST - MDM-10",7
"137","Policy","Restricting Access To Authorized Devices",,"Mechanisms exist to restrict the connectivity of unauthorized mobile devices from communicating with systems, applications and services.","AST - MDM-11",8
"138","Policy","Cybersecurity & Data Privacy Portfolio Management",,"Mechanisms exist to facilitate the implementation of cybersecurity & data privacy-related resource planning controls that define a viable plan for achieving cybersecurity & data privacy objectives.","GOV - PRM-01",8
"139","Policy","Cybersecurity & Data Protection Governance Program ",,"Mechanisms exist to facilitate the implementation of cybersecurity & data protection governance controls.","GOV-01",10
"140","Policy","Steering Committee & Program Oversight",,"Mechanisms exist to coordinate cybersecurity, data protection and business alignment through a steering committee or advisory board, comprised of key cybersecurity, data privacy and business executives, which meets formally and on a regular basis.","GOV-01.1",7
"141","Policy","Status Reporting To Governing Body",,"Mechanisms exist to provide governance oversight reporting and recommendations to those entrusted to make executive decisions about matters considered material to the organization’s cybersecurity & data protection program.","GOV-01.2",5
"142","Policy","Publishing Cybersecurity & Data Protection Documentation ",,"Mechanisms exist to establish, maintain and disseminate cybersecurity & data protection policies, standards and procedures.","GOV-02",10
"143","Policy","Exception Management",,"Mechanisms exist to prohibit exceptions to standards, except when the exception has been formally assessed for risk impact, approved and recorded.","GOV-02.1",8
"144","Policy","Periodic Review & Update of Cybersecurity & Data Protection Program",,"Mechanisms exist to review the cybersecurity & data privacy program, including policies, standards and procedures, at planned intervals or if significant changes occur to ensure their continuing suitability, adequacy and effectiveness. ","GOV-03",7
"145","Policy","Assigned Cybersecurity & Data Protection Responsibilities ",,"Mechanisms exist to assign one or more qualified individuals with the mission and resources to centrally-manage, coordinate, develop, implement and maintain an enterprise-wide cybersecurity & data protection program. ","GOV-04",10
"146","Policy","Stakeholder Accountability Structure",,"Mechanisms exist to enforce an accountability structure so that appropriate teams and individuals are empowered, responsible and trained for mapping, measuring and managing data and technology-related risks.","GOV-04.1",8
"147","Policy","Authoritative Chain of Command",,"Mechanisms exist to establish an authoritative chain of command with clear lines of communication to remove ambiguity from individuals and teams related to managing data and technology-related risks.","GOV-04.2",7
"148","Policy","Measures of Performance ",,"Mechanisms exist to develop, report and monitor cybersecurity & data privacy program measures of performance.","GOV-05",6
"149","Policy","Key Performance Indicators (KPIs)",,"Mechanisms exist to develop, report and monitor Key Performance Indicators (KPIs) to assist organizational management in performance monitoring and trend analysis of the cybersecurity & data privacy program.","GOV-05.1",6
"150","Policy","Key Risk Indicators (KRIs)",,"Mechanisms exist to develop, report and monitor Key Risk Indicators (KRIs) to assist senior management in performance monitoring and trend analysis of the cybersecurity & data privacy program.","GOV-05.2",6
"151","Policy","Contacts With Authorities ",,"Mechanisms exist to identify and document appropriate contacts with relevant law enforcement and regulatory bodies.","GOV-06",5
"152","Policy","Contacts With Groups & Associations ",,"Mechanisms exist to establish contact with selected groups and associations within the cybersecurity & data privacy communities to:   ▪ Facilitate ongoing cybersecurity & data privacy education and training for organizational personnel;  ▪ Maintain currency with recommended cybersecurity & data privacy practices, techniques and technologies; and  ▪ Share current cybersecurity and/or data privacy-related information including threats, vulnerabilities and incidents. ","GOV-07",7
"153","Policy","Defining Business Context & Mission",,"Mechanisms exist to define the context of its business model and document the mission of the organization.","GOV-08",5
"154","Policy","Define Control Objectives",,"Mechanisms exist to establish control objectives as the basis for the selection, implementation and management of the organization’s internal control system.","GOV-09",5
"155","Policy","Data Governance",,"Mechanisms exist to facilitate data governance to oversee the organization's policies, standards and procedures so that sensitive/regulated data is effectively managed and maintained in accordance with applicable statutory, regulatory and contractual obligations.","GOV-10",9
"156","Policy","Purpose Validation",,"Mechanisms exist to monitor mission/business-critical services or functions to ensure those resources are being used consistent with their intended purpose.","GOV-11",5
"157","Policy","Forced Technology Transfer (FTT)",,"Mechanisms exist to avoid and/or constrain the forced exfiltration of sensitive / regulated information (e.g., Intellectual Property (IP)) to the host government for purposes of market access or market management practices.","GOV-12",10
"158","Policy","State-Sponsored Espionage",,"Mechanisms exist to constrain the host government's ability to leverage the organization's technology assets for economic or political espionage and/or cyberwarfare activities. ","GOV-13",10
"159","Policy","Business As Usual (BAU) Secure Practices",,"Mechanisms exist to incorporate cybersecurity & data privacy principles into Business As Usual (BAU) practices through executive leadership involvement.","GOV-14",6
"160","Policy","Operationalizing Cybersecurity & Data Protection Practices",,"Mechanisms exist to compel data and/or process owners to operationalize cybersecurity & data privacy practices for each system, application and/or service under their control.","GOV-15",9
"161","Policy","Select Controls",,"Mechanisms exist to compel data and/or process owners to select required cybersecurity & data privacy controls for each system, application and/or service under their control.","GOV-15.1",8
"162","Policy","Implement Controls",,"Mechanisms exist to compel data and/or process owners to implement required cybersecurity & data privacy controls for each system, application and/or service under their control.","GOV-15.2",9
"163","Policy","Assess Controls",,"Mechanisms exist to compel data and/or process owners to assess if required cybersecurity & data privacy controls for each system, application and/or service under their control are implemented correctly and are operating as intended.","GOV-15.3",8
"164","Policy","Authorize Systems, Applications & Services",,"Mechanisms exist to compel data and/or process owners to obtain authorization for the production use of each system, application and/or service under their control.","GOV-15.4",8
"165","Policy","Monitor Controls",,"Mechanisms exist to compel data and/or process owners to monitor systems, applications and/or services under their control on an ongoing basis for applicable threats and risks, as well as to ensure cybersecurity & data privacy controls are operating as intended.","GOV-15.5",8
"166","Policy","Strategic Plan & Objectives",,"Mechanisms exist to establish a strategic cybersecurity & data privacy-specific business plan and set of objectives to achieve that plan.","GOV - PRM-01.1",5
"167","Policy","Targeted Capability Maturity Levels",,"Mechanisms exist to define and identify targeted capability maturity levels.","GOV - PRM-01.2",5
"168","Policy","Cybersecurity & Data Privacy Resource Management",,"Mechanisms exist to address all capital planning and investment requests, including the resources needed to implement the cybersecurity & data privacy programs and document all exceptions to this requirement. ","GOV - PRM-02",8
"169","Policy","Allocation of Resources ",,"Mechanisms exist to identify and allocate resources for management, operational, technical and data privacy requirements within business process planning for projects / initiatives.","GOV - PRM-03",8
"170","Policy","Cybersecurity & Data Privacy In Project Management ",,"Mechanisms exist to assess cybersecurity & data privacy controls in system project development to determine the extent to which the controls are implemented correctly, operating as intended and producing the desired outcome with respect to meeting the requirements.","GOV - PRM-04",10
"171","Policy","Cybersecurity & Data Privacy Requirements Definition",,"Mechanisms exist to identify critical system components and functions by performing a criticality analysis for critical systems, system components or services at pre-defined decision points in the Secure Development Life Cycle (SDLC). ","GOV - PRM-05",9
"172","Policy","Business Process Definition ",,"Mechanisms exist to define business processes with consideration for cybersecurity & data privacy that determines:   ▪ The resulting risk to organizational operations, assets, individuals and other organizations; and  ▪ Information protection needs arising from the defined business processes and revises the processes as necessary, until an achievable set of protection needs is obtained.","GOV - PRM-06",7
"173","Policy","Secure Development Life Cycle (SDLC) Management",,"Mechanisms exist to ensure changes to systems within the Secure Development Life Cycle (SDLC) are controlled through formal change control procedures. ","GOV - PRM-07",10
"174","Policy","Manage Organizational Knowledge",,"Mechanisms exist to manage the organizational knowledge of the cybersecurity & data privacy staff.","GOV - PRM-08",5
"175","Policy","Artificial Intelligence (AI) & Autonomous Technologies Governance",,"Mechanisms exist to ensure policies, processes, procedures and practices related to the mapping, measuring and managing of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks are in place, transparent and implemented effectively.","AAT-01",10
"176","Policy","AI & Autonomous Technologies-Related Legal Requirements Definition",,"Mechanisms exist to identify, understand, document and manage applicable statutory and regulatory requirements for Artificial Intelligence (AI) and Autonomous Technologies (AAT).","AAT-01.1",8
"177","Policy","Trustworthy AI & Autonomous Technologies",,"Mechanisms exist to ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT) are designed to be reliable, safe, fair, secure, resilient, transparent, explainable and data privacy-enhanced to minimize emergent properties or unintended consequences.","AAT-01.2",10
"178","Policy","AI & Autonomous Technologies Value Sustainment",,"Mechanisms exist to sustain the value of deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).","AAT-01.3",1
"179","Policy","Situational Awareness of AI & Autonomous Technologies",,"Mechanisms exist to develop and maintain an inventory of Artificial Intelligence (AI) and Autonomous Technologies (AAT) (internal and third-party).","AAT-02",9
"180","Policy","AI & Autonomous Technologies Risk Mapping",,"Mechanisms exist to identify Artificial Intelligence (AI) and Autonomous Technologies (AAT) in use and map those components to potential legal risks, including statutory and regulatory compliance requirements.","AAT-02.1",9
"181","Policy","AI & Autonomous Technologies Internal Controls",,"Mechanisms exist to identify and document internal cybersecurity & data privacy controls for Artificial Intelligence (AI) and Autonomous Technologies (AAT).","AAT-02.2",9
"182","Policy","AI & Autonomous Technologies Context Definition",,"Mechanisms exist to establish and document the context surrounding Artificial Intelligence (AI) and Autonomous Technologies (AAT), including:  ▪ Intended purposes;  ▪ Potentially beneficial uses;  ▪ Context-specific laws and regulations;  ▪ Norms and expectations; and  ▪ Prospective settings in which the system(s) will be deployed.","AAT-03",8
"183","Policy","AI & Autonomous Technologies Mission and Goals Definition",,"Mechanisms exist to define and document the organization’s mission and defined goals for Artificial Intelligence (AI) and Autonomous Technologies (AAT).","AAT-03.1",8
"184","Policy","AI & Autonomous Technologies Business Case",,"Mechanisms exist to benchmark capabilities, targeted usage, goals and expected benefits and costs of Artificial Intelligence (AI) and Autonomous Technologies (AAT).","AAT-04",8
"185","Policy","AI & Autonomous Technologies Potential Benefits Analysis",,"Mechanisms exist to assess the potential benefits of proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT).","AAT-04.1",2
"186","Policy","AI & Autonomous Technologies Potential Costs Analysis",,"Mechanisms exist to assess potential costs, including non-monetary costs, resulting from expected or realized Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related errors or system functionality and trustworthiness.","AAT-04.2",2
"187","Policy","AI & Autonomous Technologies Targeted Application Scope",,"Mechanisms exist to specify and document the targeted application scope of the proposed use and operation of Artificial Intelligence (AI) and Autonomous Technologies (AAT).","AAT-04.3",8
"188","Policy","AI & Autonomous Technologies Cost / Benefit Mapping",,"Mechanisms exist to map risks and benefits for all components of Artificial Intelligence (AI) and Autonomous Technologies (AAT), including third-party software and data.","AAT-04.4",2
"189","Policy","AI & Autonomous Technologies Training",,"Mechanisms exist to ensure personnel and external stakeholders are provided with position-specific risk management training for Artificial Intelligence (AI) and Autonomous Technologies (AAT).","AAT-05",5
